id,input_query_name,accepted_scientific_name,gbif_key,gbif_url,kingdom,phylum,kelas,ordo,family,genus,nama_indonesia_api,nama_inggris_api,taxonomic_status,rank,seed_source,seed_note
jati,Tectona grandis,Tectona grandis,2925649,https://www.gbif.org/species/2925649,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Tectona,jati,Teak,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
mahoni_daun_besar,Swietenia macrophylla,Swietenia macrophylla,3190484,https://www.gbif.org/species/3190484,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Swietenia,Mahoni,Big Leaf Mahogany,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
melinjo,Gnetum gnemon,Gnetum gnemon,2653133,https://www.gbif.org/species/2653133,Plantae,Tracheophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Melinjo,buko,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
petai,Parkia speciosa,Parkia speciosa,5348811,https://www.gbif.org/species/5348811,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkia,Pete,Stink bean,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jengkol,Archidendron pauciflorum,Archidendron pauciflorum,2941485,https://www.gbif.org/species/2941485,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Archidendron,Djenkol,Djenkol Tree,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kecombrang,Etlingera elatior,Etlingera elatior,2759896,https://www.gbif.org/species/2759896,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Etlingera,Kecombrang,Torch Ginger,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jahe,Zingiber officinale,Zingiber officinale,2757280,https://www.gbif.org/species/2757280,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,Jahe,Ginger,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kunyit,Curcuma longa,Curcuma longa,2757624,https://www.gbif.org/species/2757624,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Kunyit,Turmeric,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
lengkuas,Alpinia galanga,Alpinia galanga,5302225,https://www.gbif.org/species/5302225,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,Laos,greater galangal,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
serai,Cymbopogon citratus,Cymbopogon citratus,2705275,https://www.gbif.org/species/2705275,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cymbopogon,Serai,Lemon Grass,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pandan_wangi,Pandanus amaryllifolius,Pandanus amaryllifolius,9296315,https://www.gbif.org/species/9296315,Plantae,Tracheophyta,Liliopsida,Pandanales,Pandanaceae,Pandanus,Pandan Rampeh,Fragrant Pandan,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
belimbing,Averrhoa carambola,Averrhoa carambola,2891641,https://www.gbif.org/species/2891641,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Averrhoa,Belimbing,Starfruit,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
manggis,Garcinia mangostana,Garcinia mangostana,3189571,https://www.gbif.org/species/3189571,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,Manggis,Mangosteen,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
duku,Lansium domesticum,Lansium domesticum,3190478,https://www.gbif.org/species/3190478,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Lansium,,langsat,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
