id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
merbau,Intsia bijuga,Intsia bijuga,http://www.wikidata.org/entity/Q12700996,Merbau,Intsia bijuga,Plantae,,,Fabales,Fabaceae,Intsia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
beringin,Ficus benjamina,Ficus benjamina,http://www.wikidata.org/entity/Q275160,Beringin,Ficus benjamina,Plantae,,,Rosales,Moraceae,Ficus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jati,Tectona grandis,Tectona grandis,http://www.wikidata.org/entity/Q156938,Jati,Tectona grandis,Plantae,,,Lamiales,Lamiaceae,Tectona,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
mahoni_daun_besar,Swietenia macrophylla,Swietenia macrophylla,http://www.wikidata.org/entity/Q12955947,Swietenia macrophylla,Swietenia macrophylla,Plantae,,,Sapindales,Meliaceae,Swietenia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
melinjo,Gnetum gnemon,Gnetum gnemon,http://www.wikidata.org/entity/Q72368,Melinjo,Gnetum gnemon,Plantae,,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
petai,Parkia speciosa,Parkia speciosa,http://www.wikidata.org/entity/Q311088,petai,Parkia speciosa,Plantae,,,Fabales,Fabaceae,Parkia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jengkol,Archidendron pauciflorum,Archidendron pauciflorum,http://www.wikidata.org/entity/Q3503085,jengkol,Archidendron pauciflorum,Plantae,,,Fabales,Fabaceae,Archidendron,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kecombrang,Etlingera elatior,Etlingera elatior,http://www.wikidata.org/entity/Q3442435,Kecombrang,Etlingera elatior,Plantae,,,Zingiberales,Zingiberaceae,Etlingera,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
jahe,Zingiber officinale,Zingiber officinale,http://www.wikidata.org/entity/Q35625,jahe,ginger,Plantae,,,Zingiberales,Zingiberaceae,Zingiber,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kunyit,Curcuma longa,Curcuma longa,http://www.wikidata.org/entity/Q42562,kunyit,Curcuma longa,Plantae,,,Zingiberales,Zingiberaceae,Curcuma,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
