id,nama_latin,nama_indonesia,nama_inggris,kingdom,phylum,kelas,ordo,family,genus,kategori,sinonim_ilmiah,sumber_data
pulai,Alstonia scholaris,Pulai,Blackboard Tree,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Magnoliopsida,Aeschynomene laevis|Alstonia kurzii|Alstonia scholaris avae|Alstonia scholaris blumii|Alstonia scholaris velutina,GBIF: https://www.gbif.org/species/5414410; Wikidata: http://www.wikidata.org/entity/Q135307
kayu_putih,Melaleuca cajuputi,gelam,Cajuput,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Melaleuca,Magnoliopsida,-,GBIF: https://www.gbif.org/species/5415885; Wikidata: http://www.wikidata.org/entity/Q2933398
gaharu,Aquilaria malaccensis,Gaharu,Agarwood,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Aquilaria,Magnoliopsida,Aquilaria agallocha|Aquilaria moluccensis|Aquilaria secundana|Aquilariella malaccensis,GBIF: https://www.gbif.org/species/5524063; Wikidata: http://www.wikidata.org/entity/Q2249742
cemara_laut,Casuarina equisetifolia,cemara laut,Australian pine,Plantae,Tracheophyta,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,Magnoliopsida,Casuarina equisetifolia|Casuarina equisetifolia incana|Casuarina equisetifolia typica|Casuarina litorea,GBIF: https://www.gbif.org/species/2891930; Wikidata: http://www.wikidata.org/entity/Q857220
merbau,Intsia bijuga,Merbau,Borneo Teak,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Intsia,Magnoliopsida,Afzelia bijuga|Afzelia cambodiensis|Intsia bijuga glabra|Intsia moeleri|Macrolobium bijugum,GBIF: https://www.gbif.org/species/2963211; Wikidata: http://www.wikidata.org/entity/Q12700996
beringin,Ficus benjamina,Beringin,weeping fig,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,Ficus,Magnoliopsida,Ficus benjamina warringiana|Ficus benjamina benjamina|Ficus benjamina bracteata|Ficus benjamina comosa,GBIF: https://www.gbif.org/species/5361932; Wikidata: http://www.wikidata.org/entity/Q275160
jati,Tectona grandis,Jati,Teak,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Tectona,Magnoliopsida,Jatus grandis|Tectona grandis abludens|Tectona grandis canescens|Tectona grandis pilosula|Tectona grandis punctata,GBIF: https://www.gbif.org/species/2925649; Wikidata: http://www.wikidata.org/entity/Q156938
mahoni_daun_besar,Swietenia macrophylla,Mahoni,Big Leaf Mahogany,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Meliaceae,Swietenia,Magnoliopsida,Swietenia belizensis|Swietenia candollei|Swietenia krukovii|Swietenia macrophylla marabaensis|Swietenia tesomannii,GBIF: https://www.gbif.org/species/3190484; Wikidata: http://www.wikidata.org/entity/Q12955947
melinjo,Gnetum gnemon,Melinjo,buko,Plantae,Tracheophyta,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Gnetopsida,Gnetum domesticum|Gnetum gnemon domesticum|Gnetum gnemon laurinum|Gnetum gnemon lucidum,GBIF: https://www.gbif.org/species/2653133; Wikidata: http://www.wikidata.org/entity/Q72368
petai,Parkia speciosa,petai,Stink bean,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Parkia,Magnoliopsida,Acacia gigantea|Acacia graveolens|Inga pyriformis|Mimosa pedunculata,GBIF: https://www.gbif.org/species/5348811; Wikidata: http://www.wikidata.org/entity/Q311088
jengkol,Archidendron pauciflorum,jengkol,Djenkol Tree,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Archidendron,Magnoliopsida,Abarema malinoensis pauciflorum|Abarema pauciflora|Pithecellobium pauciflorum,GBIF: https://www.gbif.org/species/2941485; Wikidata: http://www.wikidata.org/entity/Q3503085
kecombrang,Etlingera elatior,Kecombrang,Torch Ginger,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Etlingera,Liliopsida,Alpinia acrostachya|Alpinia diracodes|Alpinia elatior|Alpinia javanica|Alpinia magnifica,GBIF: https://www.gbif.org/species/2759896; Wikidata: http://www.wikidata.org/entity/Q3442435
jahe,Zingiber officinale,jahe,ginger,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,Liliopsida,Amomum angustifolium|Amomum zingiber|Amomum zinziba|Curcuma longifolia|Zingiber aromaticum,GBIF: https://www.gbif.org/species/2757280; Wikidata: http://www.wikidata.org/entity/Q35625
kunyit,Curcuma longa,kunyit,Turmeric,Plantae,Tracheophyta,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Liliopsida,Amomum curcuma|Curcuma brog|Curcuma domestica,GBIF: https://www.gbif.org/species/2757624; Wikidata: http://www.wikidata.org/entity/Q42562
