id,image_url,image_source,description,description_source
pisang,https://commons.wikimedia.org/wiki/Special:Redirect/file/Bananapao.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Bananapao.JPG,"gedang klutuk (Musa acuminata) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Musaceae dan genus Musa. Nama Inggris yang tercatat adalah Wild Banana.",Generated from validated project taxonomy fields
padi,https://commons.wikimedia.org/wiki/Special:Redirect/file/Reis-Rispe.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Reis-Rispe.jpg,"padi (Oryza sativa) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Poaceae dan genus Oryza. Nama Inggris yang tercatat adalah oryza molida.",Generated from validated project taxonomy fields
kopi_robusta,https://commons.wikimedia.org/wiki/Special:Redirect/file/Coffea_canephora_berries.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Coffea_canephora_berries.JPG,"Robusta (Coffea canephora) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Rubiaceae dan genus Coffea. Nama Inggris yang tercatat adalah Robusta Coffee.",Generated from validated project taxonomy fields
kopi_arabika,https://commons.wikimedia.org/wiki/Special:Redirect/file/Coffee_Flowers.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Coffee_Flowers.JPG,"Kopi arabika (Coffea arabica) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Rubiaceae dan genus Coffea. Nama Inggris yang tercatat adalah Arabica Coffee.",Generated from validated project taxonomy fields
kakao,https://commons.wikimedia.org/wiki/Special:Redirect/file/Digital_Inclusion_in_the_Peruvian_Amazon_-_48138694956.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Digital_Inclusion_in_the_Peruvian_Amazon_-_48138694956.jpg,"Kakao (Theobroma cacao) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Malvaceae dan genus Theobroma. Nama Inggris yang tercatat adalah cacao.",Generated from validated project taxonomy fields
cengkih,https://commons.wikimedia.org/wiki/Special:Redirect/file/Cengkih.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Cengkih.jpg,"Cengkih (Syzygium aromaticum) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Myrtaceae dan genus Syzygium. Nama Inggris yang tercatat adalah clove.",Generated from validated project taxonomy fields
lada,https://commons.wikimedia.org/wiki/Special:Redirect/file/Piper_nigrum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-107.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Piper_nigrum_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-107.jpg,"lada (Piper nigrum) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Piperaceae dan genus Piper. Nama Inggris yang tercatat adalah black pepper.",Generated from validated project taxonomy fields
kayu_manis,https://commons.wikimedia.org/wiki/Special:Redirect/file/Zimtbaum.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Zimtbaum.jpg,"Cinnamomum burmannii (Cinnamomum burmanni) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Lauraceae dan genus Cinnamomum. Nama Inggris yang tercatat adalah Malaysian cinnamon.",Generated from validated project taxonomy fields
kemiri,https://commons.wikimedia.org/wiki/Special:Redirect/file/Starr_020803-0119_Aleurites_moluccana.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Starr_020803-0119_Aleurites_moluccana.jpg,"Kemiri (Aleurites moluccanus) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Euphorbiaceae dan genus Aleurites. Nama Inggris yang tercatat adalah Candlenut Tree.",Generated from validated project taxonomy fields
nangka,https://commons.wikimedia.org/wiki/Special:Redirect/file/The_jackfruit_is_holding_on_to_the_tree.jpg?width=1200,https://commons.wikimedia.org/wiki/File:The_jackfruit_is_holding_on_to_the_tree.jpg,"Nangka (Artocarpus heterophyllus) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Moraceae dan genus Artocarpus. Nama Inggris yang tercatat adalah jackfruit.",Generated from validated project taxonomy fields
