id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
sukun,Artocarpus altilis,Sukun,breadfruit,Plantae,Magnoliopsida,Rosales,Moraceae,Artocarpus,Pohon buah,Kebun tropis,Sukun adalah entri leksikon flora Indonesia kategori Pohon buah dengan habitat utama Kebun tropis. Status endemik: Tidak endemik.,Artocarpus altilis|Artocarpus altilis non-seminifer|Artocarpus altilis non-seminiferus|Artocarpus altilis seminifer|Artocarpus altilis seminiferus,Tidak endemik,GBIF: https://www.gbif.org/species/2984573; Wikidata: http://www.wikidata.org/entity/Q14677
pinang,Areca catechu,Pinang,Areca palm,Plantae,Liliopsida,Arecales,Arecaceae,Areca,Palem,Kebun dan hutan tropis,Spesies tumbuhan dalam keluarga Arecaceae,Areca catechu communis|Areca catechu alba|Areca catechu batanensis|Areca catechu longicarpa|Areca catechu nigra,Tidak endemik,GBIF: https://www.gbif.org/species/2736531; Wikidata: http://www.wikidata.org/entity/Q156969
nipah,Nypa fruticans,Nipah,Nipa palm,Plantae,Liliopsida,Arecales,Arecaceae,Nypa,Palem mangrove,Muara dan hutan mangrove,Jenis Tumbuhan,Cocos nypa|Nipa arborescens|Nipa fruticans|Nipa fruticans neameana,Tidak endemik,GBIF: https://www.gbif.org/species/2738422; Wikidata: http://www.wikidata.org/entity/Q843726
pandan_laut,Pandanus tectorius,Pandan Pudak,Screw pine,Plantae,Liliopsida,Pandanales,Pandanaceae,Pandanus,Pohon pesisir,Pesisir tropis,Pandan laut adalah entri leksikon flora Indonesia kategori Pohon pesisir dengan habitat utama Pesisir tropis. Status endemik: Tidak endemik.,Corypha laevis|Pandanus absonus|Pandanus adscendens|Pandanus aequor|Pandanus aitutakiensis,Tidak endemik,GBIF: https://www.gbif.org/species/8023236; Wikidata: http://www.wikidata.org/entity/Q312736
pulai,Alstonia scholaris,Pulai,Blackboard tree,Plantae,Magnoliopsida,Gentianales,Apocynaceae,Alstonia,Pohon,Hutan tropis,Spesies tumbuhan berbunga dalam keluarga Apocynaceae,Aeschynomene laevis|Alstonia kurzii|Alstonia scholaris avae|Alstonia scholaris blumii|Alstonia scholaris velutina,Tidak endemik,GBIF: https://www.gbif.org/species/5414410; Wikidata: http://www.wikidata.org/entity/Q135307
kayu_putih,Melaleuca cajuputi,gelam,Cajuput tree,Plantae,Magnoliopsida,Myrtales,Myrtaceae,Melaleuca,Pohon aromatik,Hutan rawa dan savana,Tumbuhan,-,Tidak endemik,GBIF: https://www.gbif.org/species/5415885; Wikidata: http://www.wikidata.org/entity/Q2933398
gaharu,Aquilaria malaccensis,Gaharu,Agarwood,Plantae,Magnoliopsida,Malvales,Thymelaeaceae,Aquilaria,Pohon,Hutan tropis,Gaharu adalah entri leksikon flora Indonesia kategori Pohon dengan habitat utama Hutan tropis. Status endemik: Tidak endemik.,Aquilaria agallocha|Aquilaria moluccensis|Aquilaria secundana|Aquilariella malaccensis,Tidak endemik,GBIF: https://www.gbif.org/species/5524063; Wikidata: http://www.wikidata.org/entity/Q2249742
cemara_laut,Casuarina equisetifolia,cemara laut,Beach she-oak,Plantae,Magnoliopsida,Fagales,Casuarinaceae,Casuarina,Pohon pesisir,Pantai dan pesisir,spesies tumbuhan,Casuarina equisetifolia|Casuarina equisetifolia incana|Casuarina equisetifolia typica|Casuarina litorea,Tidak endemik,GBIF: https://www.gbif.org/species/2891930; Wikidata: http://www.wikidata.org/entity/Q857220
merbau,Intsia bijuga,Merbau,Moluccan ironwood,Plantae,Magnoliopsida,Fabales,Fabaceae,Intsia,Pohon,Hutan tropis dan pesisir,Merbau adalah entri leksikon flora Indonesia kategori Pohon dengan habitat utama Hutan tropis dan pesisir. Status endemik: Tidak endemik.,Afzelia bijuga|Afzelia cambodiensis|Intsia bijuga glabra|Intsia moeleri|Macrolobium bijugum,Tidak endemik,GBIF: https://www.gbif.org/species/2963211; Wikidata: http://www.wikidata.org/entity/Q12700996
beringin,Ficus benjamina,Beringin,Weeping fig,Plantae,Magnoliopsida,Rosales,Moraceae,Ficus,Pohon,Hutan dan ruang terbuka tropis,Beringin adalah entri leksikon flora Indonesia kategori Pohon dengan habitat utama Hutan dan ruang terbuka tropis. Status endemik: Tidak endemik.,Ficus benjamina warringiana|Ficus benjamina benjamina|Ficus benjamina bracteata|Ficus benjamina comosa,Tidak endemik,GBIF: https://www.gbif.org/species/5361932; Wikidata: http://www.wikidata.org/entity/Q275160
jati,Tectona grandis,Jati,Teak,Plantae,Magnoliopsida,Lamiales,Lamiaceae,Tectona,Pohon kayu,Hutan musim dan kebun,Nama pohon,Jatus grandis|Tectona grandis abludens|Tectona grandis canescens|Tectona grandis pilosula|Tectona grandis punctata,Tidak endemik,GBIF: https://www.gbif.org/species/2925649; Wikidata: http://www.wikidata.org/entity/Q156938
mahoni_daun_besar,Swietenia macrophylla,Mahoni daun besar,Big-leaf mahogany,Plantae,Magnoliopsida,Sapindales,Meliaceae,Swietenia,Pohon kayu,Kebun dan hutan tanaman,Mahoni daun besar adalah entri leksikon flora Indonesia kategori Pohon kayu dengan habitat utama Kebun dan hutan tanaman. Status endemik: Tidak endemik.,Swietenia belizensis|Swietenia candollei|Swietenia krukovii|Swietenia macrophylla marabaensis|Swietenia tesomannii,Tidak endemik,GBIF: https://www.gbif.org/species/3190484; Wikidata: http://www.wikidata.org/entity/Q12955947
melinjo,Gnetum gnemon,Melinjo,Melinjo,Plantae,Gnetopsida,Gnetales,Gnetaceae,Gnetum,Pohon pangan,Kebun dan hutan tropis,"Tanaman berbiji terbuka dari genus Gnetum, keluarga Gnetaceae",Gnetum domesticum|Gnetum gnemon domesticum|Gnetum gnemon laurinum|Gnetum gnemon lucidum,Tidak endemik,GBIF: https://www.gbif.org/species/2653133; Wikidata: http://www.wikidata.org/entity/Q72368
petai,Parkia speciosa,petai,Stink bean,Plantae,Magnoliopsida,Fabales,Fabaceae,Parkia,Pohon pangan,Hutan dan kebun tropis,spesies tanaman,Acacia gigantea|Acacia graveolens|Inga pyriformis|Mimosa pedunculata,Tidak endemik,GBIF: https://www.gbif.org/species/5348811; Wikidata: http://www.wikidata.org/entity/Q311088
jengkol,Archidendron pauciflorum,jengkol,Dogfruit,Plantae,Magnoliopsida,Fabales,Fabaceae,Archidendron,Pohon pangan,Hutan dan kebun tropis,spesies tumbuhan,Abarema malinoensis pauciflorum|Abarema pauciflora|Pithecellobium pauciflorum,Tidak endemik,GBIF: https://www.gbif.org/species/2941485; Wikidata: http://www.wikidata.org/entity/Q3503085
kecombrang,Etlingera elatior,Kecombrang,Torch ginger,Plantae,Liliopsida,Zingiberales,Zingiberaceae,Etlingera,Herba rempah,Hutan lembap dan kebun,Tanaman rempah,Alpinia acrostachya|Alpinia diracodes|Alpinia elatior|Alpinia javanica|Alpinia magnifica,Tidak endemik,GBIF: https://www.gbif.org/species/2759896; Wikidata: http://www.wikidata.org/entity/Q3442435
jahe,Zingiber officinale,jahe,ginger,Plantae,Liliopsida,Zingiberales,Zingiberaceae,Zingiber,Herba rempah,Kebun tropis,spesies tumbuhan,Amomum angustifolium|Amomum zingiber|Amomum zinziba|Curcuma longifolia|Zingiber aromaticum,Tidak endemik,GBIF: https://www.gbif.org/species/2757280; Wikidata: http://www.wikidata.org/entity/Q35625
kunyit,Curcuma longa,kunyit,Turmeric,Plantae,Liliopsida,Zingiberales,Zingiberaceae,Curcuma,Herba rempah,Kebun tropis,Jenis tanaman obat-obatan dan rempah-rempah,Amomum curcuma|Curcuma brog|Curcuma domestica,Tidak endemik,GBIF: https://www.gbif.org/species/2757624; Wikidata: http://www.wikidata.org/entity/Q42562
